tree_id,樹種,経度,緯度,区分,場所,出典
PT0004-01-0271,クロマツ,139.6404227,35.6857525,公園樹木（杉並区）,和田堀公園,suginami_park_matsu
PT0004-01-0273,クロマツ,139.6404552,35.68574047,公園樹木（杉並区）,和田堀公園,suginami_park_matsu
PT0004-01-0275,クロマツ,139.6404925,35.6857145,公園樹木（杉並区）,和田堀公園,suginami_park_matsu
PT0004-01-0277,クロマツ,139.6405193,35.68570094,公園樹木（杉並区）,和田堀公園,suginami_park_matsu
PT0004-01-0279,クロマツ,139.6405386,35.68568989,公園樹木（杉並区）,和田堀公園,suginami_park_matsu
PT0004-01-0281,クロマツ,139.6403922,35.68568258,公園樹木（杉並区）,和田堀公園,suginami_park_matsu
PT0004-01-0282,クロマツ,139.6404355,35.68568192,公園樹木（杉並区）,和田堀公園,suginami_park_matsu
PT0004-01-0283,クロマツ,139.6404176,35.68567444,公園樹木（杉並区）,和田堀公園,suginami_park_matsu
PT0004-01-0289,クロマツ,139.6404806,35.68565919,公園樹木（杉並区）,和田堀公園,suginami_park_matsu
PT0004-01-0290,クロマツ,139.6404234,35.68565736,公園樹木（杉並区）,和田堀公園,suginami_park_matsu
PT0004-01-0291,クロマツ,139.6404483,35.68565472,公園樹木（杉並区）,和田堀公園,suginami_park_matsu
PT0004-01-0293,クロマツ,139.6404888,35.68563711,公園樹木（杉並区）,和田堀公園,suginami_park_matsu
PT0004-01-0298,クロマツ,139.6405369,35.68559669,公園樹木（杉並区）,和田堀公園,suginami_park_matsu
PT0004-01-0305,クロマツ,139.6405671,35.68552389,公園樹木（杉並区）,和田堀公園,suginami_park_matsu
PT0004-01-0313,クロマツ,139.6405632,35.68547917,公園樹木（杉並区）,和田堀公園,suginami_park_matsu
PT0004-01-0318,クロマツ,139.640686,35.68544414,公園樹木（杉並区）,和田堀公園,suginami_park_matsu
PT0004-01-0321,クロマツ,139.6405954,35.68541033,公園樹木（杉並区）,和田堀公園,suginami_park_matsu
PT0004-01-0323,クロマツ,139.6406416,35.68540389,公園樹木（杉並区）,和田堀公園,suginami_park_matsu
PT0004-01-0327,クロマツ,139.640612,35.68536844,公園樹木（杉並区）,和田堀公園,suginami_park_matsu
PT0004-01-0330,クロマツ,139.6406597,35.68535878,公園樹木（杉並区）,和田堀公園,suginami_park_matsu
PT0004-01-0334,クロマツ,139.6406603,35.68531114,公園樹木（杉並区）,和田堀公園,suginami_park_matsu
PT0004-01-0335,クロマツ,139.6407006,35.68529631,公園樹木（杉並区）,和田堀公園,suginami_park_matsu
PT0004-01-0338,クロマツ,139.6407355,35.68528514,公園樹木（杉並区）,和田堀公園,suginami_park_matsu
PT0004-01-0339,クロマツ,139.6406743,35.68527914,公園樹木（杉並区）,和田堀公園,suginami_park_matsu
PT0004-01-0341,クロマツ,139.6407448,35.68527025,公園樹木（杉並区）,和田堀公園,suginami_park_matsu
PT0004-01-0342,クロマツ,139.6406837,35.68526356,公園樹木（杉並区）,和田堀公園,suginami_park_matsu
PT0004-01-0344,クロマツ,139.6407516,35.68524883,公園樹木（杉並区）,和田堀公園,suginami_park_matsu
PT0004-01-0345,クロマツ,139.6406744,35.68524864,公園樹木（杉並区）,和田堀公園,suginami_park_matsu
PT0004-01-0349,クロマツ,139.6406852,35.68520014,公園樹木（杉並区）,和田堀公園,suginami_park_matsu
PT0004-01-0358,クロマツ,139.6407141,35.68515706,公園樹木（杉並区）,和田堀公園,suginami_park_matsu
PT0004-01-0366,クロマツ,139.6407046,35.68513317,公園樹木（杉並区）,和田堀公園,suginami_park_matsu
PT0004-01-0367,クロマツ,139.6407268,35.68513256,公園樹木（杉並区）,和田堀公園,suginami_park_matsu
PT0004-01-0384,クロマツ,139.640859,35.68503653,公園樹木（杉並区）,和田堀公園,suginami_park_matsu
PT0004-01-0385,クロマツ,139.6408455,35.68503056,公園樹木（杉並区）,和田堀公園,suginami_park_matsu
PT0004-01-0386,クロマツ,139.6408727,35.68502575,公園樹木（杉並区）,和田堀公園,suginami_park_matsu
PT0004-01-0387,クロマツ,139.6408646,35.68502308,公園樹木（杉並区）,和田堀公園,suginami_park_matsu
